Event name,Image,Date,Time,Place,Price,Attendees,Tags,Views count
Вебінар «Складні звільнення: як прощатися екологічно?» (подія в архіві),https://s.dou.ua/CACHE/images/img/events/1_HRM_Banner_Blog_UA/54b8fa63b02bfc5b7ee9b802e4a214fa.png,5 жовтня 2023 (четвер),17:00,онлайн,благодійний внесок,"https://dou.ua/users/irena-burko/, https://dou.ua/users/karina-dzhulai/, https://dou.ua/users/aleksandra-stepura/, https://dou.ua/users/yuliya-sobol/, https://dou.ua/users/sofiia-ruda/, https://dou.ua/users/yulia-shipilo/","HR, вебінар, кар’єра, менеджмент",260
Game Industry Conference 2023 (подія в архіві),https://s.dou.ua/CACHE/images/img/events/Game-Industry-Conference/ae07b337747b437886fb797362de434a.png,5 — 8 October 2023,,Познань,from 138 euro,,"gamedev, кар’єра, конференція, технології",189
EngX Community Day 2023 — глобальна онлайн конференція із інженерної досконалості (подія в архіві),https://s.dou.ua/CACHE/images/img/events/Viva_Engage_-_Headliners1/39834eb72a15a2c371a37da39dc1280a.png,5 — 6 жовтня 2023,,Online,безкоштовно,"https://dou.ua/users/lyudmylamakarenko/, https://dou.ua/users/dima-sudorov/, https://dou.ua/users/vitalii-plekan/","cloud, DevOps, кар’єра, конференція, технології",100
"Індивідуальне стажування на позицію JavaScript Developer (TypeScript, React, Node.js) від SysGears (подія в архіві)",https://s.dou.ua/CACHE/images/img/events/%D0%9B%D0%BE%D0%B3%D0%BE%D1%82%D0%B8%D0%BF__020NyO0/88a1f0ed52bd16e42303edfcceb885eb.png,4 жовтня 2023 (середа),,Дніпро,безкоштовно,"https://dou.ua/users/maksstankevich81/, https://dou.ua/users/nazik-nazik-2/, https://dou.ua/users/denis-skripnyuk/, https://dou.ua/users/dmitro-yaremchuk/, https://dou.ua/users/uodstg-koyiu-ryeruyhfd/, https://dou.ua/users/vragno01/, https://dou.ua/users/roman-soltan/, https://dou.ua/users/ia-92-ivan-meshko/, https://dou.ua/users/maksym-hrebenchuk/, https://dou.ua/users/kalantyr350/, https://dou.ua/users/vladyslav-zakharov-1/, https://dou.ua/users/yurii-arutiunov/, https://dou.ua/users/rayman-bat9/, https://dou.ua/users/tkachenkokaterina/, https://dou.ua/users/alina-bodnar-1/, https://dou.ua/users/viacheslav-aleksandrivich/, https://dou.ua/users/igor-latysh-1/, https://dou.ua/users/vitalii-kazmirevskii-bs-21m/, https://dou.ua/users/some1/, https://dou.ua/users/coolkornijka36/, https://dou.ua/users/gavrilov2610/, https://dou.ua/users/alexandr-perelaznyi/, https://dou.ua/users/horolskij-pavel/, https://dou.ua/users/anton-ostroushko/, https://dou.ua/users/oles-shem/","JavaScript, node.js, кар’єра, курси",2101
DOU Livecoding з Анною Леущенко. Ефективна реалізація комунікації з RESTful API у Flutter застосунках (подія в архіві),https://s.dou.ua/CACHE/images/img/events/cover_livecoding_anna/c1284bfe347d557fc13f37389c0cf0b9.png,4 жовтня 2023 (середа),19:00,онлайн,безкоштовно,"https://dou.ua/users/mariya-dzvinka/, https://dou.ua/users/anastasia-radionova-1/, https://dou.ua/users/vladimir_mayakov/, https://dou.ua/users/kristina-malysheva/, https://dou.ua/users/petro-torskij/, https://dou.ua/users/viacheslav-beshta/, https://dou.ua/users/dmytro-turskyi/, https://dou.ua/users/ladon-skliarov/, https://dou.ua/users/maksym-redia/, https://dou.ua/users/ihorkozar/, https://dou.ua/users/sergej-zadorozhnij-1/, https://dou.ua/users/vadym-khokhlov/, https://dou.ua/users/maksym-matviiv/, https://dou.ua/users/sergiy-vergun/, https://dou.ua/users/aleksandr-ostapenko-8/, https://dou.ua/users/daria-gorlova/, https://dou.ua/users/vyacheslav-burchenko/, https://dou.ua/users/evgenij-aleksyuk-1/, https://dou.ua/users/viacheslav-sobchenko/, https://dou.ua/users/maksym-loia/, https://dou.ua/users/aleksey-chekalyuk/, https://dou.ua/users/mihail-dmitrenko/, https://dou.ua/users/tania-sorotiuk/, https://dou.ua/users/stepan-bezhuk/, https://dou.ua/users/stas-kostra/, https://dou.ua/users/marianna-lendel/, https://dou.ua/users/oleksandr-tymoshenko-2/, https://dou.ua/users/lena-yeliieshvili/, https://dou.ua/users/viktor-kovalenko-9/","DOU events, mobile, voice chat, кар’єра, технології",807
Тренінг «QA PRO: тестування комерційного проєкту» (подія в архіві),https://s.dou.ua/CACHE/images/img/events/qa_pro_ua/54cd43b80b83d07782f35a6505070692.png,4 жовтня 2023 (середа),,online,безкоштовно,"https://dou.ua/users/v-hrinenko/, https://dou.ua/users/elena-volkova-3/, https://dou.ua/users/alina-prystupko/, https://dou.ua/users/daria-semenets/","QA, вебінар, кар’єра, тестування, технології",382
Mobile DevOps Virtual Summit 2023 (подія в архіві),https://s.dou.ua/CACHE/images/img/events/648204beb5ff5f59a6971063_Mobile_DevOps_Summit_2023_-_Powered_by_Bitrise/51e8b358911dd7ba5f4f0d1b56f09c06.png,4 — 5 October 2023,16:00,Online,free,"https://dou.ua/users/pavlo-bilohaienko/, https://dou.ua/users/yevheniiustiuhov/, https://dou.ua/users/viacheslav-diachok/, https://dou.ua/users/ivan-yashchenko/, https://dou.ua/users/laker-game/, https://dou.ua/users/vova-smialko/, https://dou.ua/users/dmytro-hnatiuk-2/, https://dou.ua/users/natasha-gerasimchuk/, https://dou.ua/users/marianna-lendel/","DevOps, gamedev, mobile, кар’єра, конференція, технології",363
ЗАВЕРШЕНО! Безкоштовний пробний урок з англійської в Englishdom (подія в архіві),https://s.dou.ua/CACHE/images/img/events/DOU_840_460/c43a0da5c69bfe4a677134348048ffb0.png,4 жовтня 2023 (середа),,онлайн,безкоштовно,"https://dou.ua/users/tatyana-voznyuk-1/, https://dou.ua/users/oleksandr-kravchenko-12/","junior, англійська, воркшоп, кар’єра",326
Курс “Jira Time” від IAMPM (подія в архіві),https://s.dou.ua/CACHE/images/img/events/%D0%B4%D0%B6%D0%B8%D1%80%D0%B0_%D0%B2_%D0%BA%D0%B0%D0%BB%D0%B5%D0%BD%D0%B4%D0%B0%D1%80%D1%8C-1/f0ea599483c571efbdf2df997675278c.png,4 жовтня — 3 листопада 2023,,Онлайн,"$499, за промокодом «DOU» діє знижка на навчання 35%","https://dou.ua/users/yuliya-sobol/, https://dou.ua/users/elena-kozhevina/","кар’єра, курси, менеджмент",286
Курс з підготовки IT-менеджерів до технічної співбесіди «TechMind» від IAMPM (подія в архіві),https://s.dou.ua/CACHE/images/img/events/%D0%A2%D0%B5%D0%BA%D0%BC%D0%B0%D0%B8%D0%BD%D0%B4_%D0%B2_%D0%BA%D0%B0%D0%BB%D0%B5%D0%BD%D0%B4%D0%B0%D1%80%D1%8C/83666ee1bb53338e48dddee76d87f7f7.png,4 жовтня — 27 листопада 2023,,Онлайн,"$620, за промокодом «DOU» діє знижка на навчання 20%",,"HR, кар’єра, курси, менеджмент",268
Вебінар «Архітектура фронтенд додатків» (подія в архіві),https://s.dou.ua/CACHE/images/img/events/%D0%90%D1%80%D1%85%D1%96%D1%82%D0%B5%D0%BA%D1%82%D1%83%D1%80%D0%B0_%D1%84%D1%80%D0%BE%D0%BD%D0%B4%D0%B5%D0%BD%D0%B4/ad852313964e5b4b9af9771478770d6b.png,4 жовтня 2023 (середа),18:30,Онлайн,Безкоштовно,"https://dou.ua/users/free-billioner/, https://dou.ua/users/motion-plusemotion/, https://dou.ua/users/vitalij-parasochkin/, https://dou.ua/users/vitalii-ponomarov-2/, https://dou.ua/users/olga-nakonechnaya/, https://dou.ua/users/tajler-derden-1/, https://dou.ua/users/andrii-semkiv-1/","Front-end, вебінар, кар’єра, технології",246
Курс Data Analysis with Power BI від Sigma Software (подія в архіві),https://s.dou.ua/CACHE/images/img/events/IDW-3483_PowerBI_Course_DOU_calendar/75c7e5b141115ef23b1ee06fa681518f.png,4 жовтня 2023 (середа),,Online,15450 (знижка 25%),https://dou.ua/users/forzamilano2014/,"BI, Microsoft, кар’єра, курси, технології",234
Лекція «UI чи UX: криза ідентичності» (подія в архіві),https://s.dou.ua/CACHE/images/img/events/photo_2023-09-26_14-29-13/e31cb3898b7780a0f532bd7fdd88f422.png,4 жовтня 2023 (середа),19:30,Online,безкоштовно,"https://dou.ua/users/snezhana-borodina/, https://dou.ua/users/olga-nakonechnaya/, https://dou.ua/users/karina-galich/, https://dou.ua/users/tetiana-havryliuk/, https://dou.ua/users/kate-dementieva/","вебінар, дизайн, кар’єра",226
Безкоштовна лекція «Аналітика даних vs Data Science: яку професію обрати та з чого почати?» (подія в архіві),https://s.dou.ua/CACHE/images/img/events/Instagram_post_-_380_3/4fcdeeac6b083968ad307767ee244c44.png,4 жовтня 2023 (середа),19:00,Online,Безкоштовно,"https://dou.ua/users/elena-shevchenko-14/, https://dou.ua/users/alexander-kulichenko/","Data Science, junior, вебінар, кар’єра, технології",222
"Meetup: learn, work, and build your startup in Ukraine. Insights from the leaders of adtech (подія в архіві)",https://s.dou.ua/CACHE/images/img/events/meetup_in_Kyiv_dou/38e1e94ae589ce770fb6bf7070ed4b1f.png,04 October 2023 (Wednesday),16:30,"Kyiv, 58 Yaroslavska Str., BC Astarta, Sigma Software office",Free,"https://dou.ua/users/oleksandr-kaschenko/, https://dou.ua/users/igor-noschenko/","кар’єра, мітап, стартап, технології",208
Scrum BootCamp від SoftServe (подія в архіві),https://s.dou.ua/CACHE/images/img/events/DOU_1tDFutx/f921f2a6bb6d93aa61ff0b7b52dbeaed.png,4 — 10 жовтня 2023,,Online,9 250 грн,,"Scrum, кар’єра, курси, менеджмент",164
